"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LGI1",36.0204108234246,3.47344715046328,0.436098456675945,7.96482330375298,1.65460035367762e-15,5.01151138191076e-13
"ZNF695",136.850618319845,-2.80194883347135,0.352570038668934,-7.94721197538401,1.90755849091502e-15,5.72212521548807e-13
"PDX1",88.8331850498837,-3.87379621828005,0.490702954613736,-7.89438127864824,2.91758968638474e-15,8.66857575677568e-13
"COL1A2",35949.8290199831,-2.41619682367605,0.306165312022313,-7.89180461926387,2.97847777688255e-15,8.76599728352877e-13
"EPHX4",53.9641805173183,-3.53205644359952,0.447626826675781,-7.8906272660861,3.00671420448972e-15,8.76639841471642e-13
"DUSP4",980.292160379703,-2.77592471935502,0.352490671428121,-7.87517215167232,3.40274007065404e-15,9.82919277631425e-13
"MEX3A",403.477918296544,-3.177804059362,0.403907123659499,-7.86766034372035,3.61334998282326e-15,1.03418054508383e-12
"COL12A1",14830.6435427151,-2.77737197948461,0.354235439065857,-7.84046900222274,4.48866732056131e-15,1.2615581477437e-12
"TEAD4",301.297113782539,-2.05811123264102,0.263319529045233,-7.81602200225518,5.45188495289573e-15,1.51859334710257e-12
"TSPAN7",741.122773173776,1.9282862494497,0.246923523927559,7.8092448170933,5.75316535125457e-15,1.58833185365565e-12
"CXCL1",2324.04524840751,-3.80603095777453,0.488121386756419,-7.79730423832833,6.32436381021313e-15,1.7307120858528e-12
"S100P",2324.90185392824,-3.79952563743058,0.487641391266956,-7.79163890817167,6.61455401056186e-15,1.77904272254604e-12
"ZZEF1",6607.910677754,1.03339714772854,0.132629136765857,7.79162990069739,6.61502566962657e-15,1.77904272254604e-12
"ENSG00000234477.1",67.7897926647749,-5.55620376995722,0.714449758558333,-7.77689921985405,7.43237687603005e-15,1.9817765931753e-12
"UCN2",57.5194459472335,-4.1342028170481,0.532317603550573,-7.76642137977939,8.07346529614466e-15,2.13447370206631e-12
"ENSG00000250033.1",190.722498111692,-2.54813869684123,0.328290749812091,-7.76183519730528,8.37091374457606e-15,2.19451593352554e-12
"CP",522.155817216843,1.34198830073138,0.173099691893249,7.75269029108954,8.99658533476653e-15,2.33888727240593e-12
"EREG",2505.58752579939,-4.66585165318478,0.602328400147248,-7.74635838529968,9.45653691500965e-15,2.43814530692195e-12
"KRT6B",292.048457439695,-6.52837844044894,0.843736260525516,-7.73746340637628,1.01419859327503e-14,2.59343881265584e-12
"KLHL35",53.8713029645963,-1.90012315861556,0.245712574067911,-7.73311323534626,1.04947868383632e-14,2.66183630078389e-12
"PSRC1",186.372974610722,-1.81120950146833,0.235069596675778,-7.70499259402932,1.30850879503302e-14,3.29206039343911e-12
"TNFRSF11B",428.298514156836,-2.70145317934773,0.350760421957955,-7.70170466858301,1.34262911031532e-14,3.35088002836056e-12
"ENSG00000232956.4",1262.13687223141,-1.59430616200241,0.207086469809594,-7.69874614922114,1.37407833915174e-14,3.40215253543784e-12
"ANGPTL1",747.023459456395,2.42000146659959,0.315113233109848,7.67978368511101,1.59357446740496e-14,3.88710333631772e-12
"TGFBI",8922.17312974607,-2.22600907619911,0.289857002082097,-7.67968018784875,1.59486241320854e-14,3.88710333631772e-12
"UBE2C",1337.08540910004,-2.90054981001316,0.377812370191627,-7.67722297854354,1.6257431149543e-14,3.93165177963017e-12
"SNHG15",412.533865708706,-1.70979101154888,0.222799235089302,-7.6741332207158,1.66540927994555e-14,3.99659794665087e-12
"FAP",458.173660980356,-4.07420306560362,0.531248699225222,-7.66910690142953,1.73198045202546e-14,4.10895856014463e-12
"NEUROD1",37.9952126253481,3.08055476570341,0.401709166185936,7.66861955118429,1.73857271512995e-14,4.10895856014463e-12
"OXTR",93.4371091026524,-2.35710718375045,0.307819256164477,-7.65743902158929,1.89677357481185e-14,4.449146256647e-12
