"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CNTD2",70.7942073999357,-3.88297566691179,0.526123822819973,-7.38034564962182,1.57879112797691e-13,3.02168998892611e-11
"PDX1",88.8331850498837,-3.87379621828005,0.490702954613736,-7.89438127864824,2.91758968638474e-15,8.66857575677568e-13
"CXCL6",231.041955078483,-3.86479388663591,0.560517637312367,-6.89504420443798,5.38480561672647e-12,7.11749929414863e-10
"MAGEB17",51.3252443012868,-3.86442289872152,1.21618028958534,-3.17750824595186,0.00148546465718378,0.00838051061916472
"ENSG00000236841.2",144.34314941324,-3.84624456837724,0.527049117010749,-7.29769663630572,2.92735733190031e-13,5.43599801686274e-11
"ENSG00000254166.1",36.4788519596862,-3.84318453003714,0.571275444748186,-6.7273756737981,1.72750324068871e-11,1.89763797886498e-09
"TRIB3",1171.43776587756,-3.82612465014202,0.293912653433274,-13.0178970025551,9.68002713198426e-39,6.03975612873026e-35
"HLA-G",317.216666880037,-3.82227155265516,0.471449962923467,-8.10748086382954,5.16800041456262e-16,1.75245770579467e-13
"ENSG00000206195.5",99.9501353051453,-3.81849705070536,0.614783279115596,-6.21112704333551,5.26059201498767e-10,3.51630217906961e-08
"ENSG00000228437.1",14.1749443470324,-3.8095468077338,0.746528443993176,-5.10301628609965,3.34282222430799e-07,8.49234730714466e-06
"CXCL1",2324.04524840751,-3.80603095777453,0.488121386756419,-7.79730423832833,6.32436381021313e-15,1.7307120858528e-12
"GYLTL1B",310.570610296053,-3.80169089411086,0.55487425682808,-6.85144579574316,7.31073001249794e-12,9.1964856532217e-10
"S100P",2324.90185392824,-3.79952563743058,0.487641391266956,-7.79163890817167,6.61455401056186e-15,1.77904272254604e-12
"IL1RN",422.75741173909,-3.76091647082866,0.544157851125018,-6.91144391843866,4.79745194967076e-12,6.36877057335654e-10
"GRIN2D",260.147007156364,-3.74912577351315,0.379194283098961,-9.88708411654696,4.73622277708083e-23,5.68292084525349e-20
"SERPINB7",19.7300440470862,-3.74469611663735,0.675521276164556,-5.54341698591467,2.96625334378338e-08,1.1203172586684e-06
"C2CD4A",398.701245782443,-3.73085603643744,0.426894921474624,-8.73951843594188,2.3410618094879e-18,1.35248343093693e-15
"ENSG00000236081.1",40.8825984341903,-3.70307311740739,0.448365454503235,-8.25905091530789,1.46835289775116e-16,6.19029802042471e-14
"ENSG00000230838.1",5.55711464042641,-3.69760779766734,0.66849899354968,-5.5312092214729,3.18030717795975e-08,1.19250051719724e-06
"ENSG00000268739.1",20.6871317058373,-3.68501429771731,0.714974232445079,-5.15405189515047,2.54917346559838e-07,6.83805370647228e-06
"IRX3",65.0301612867344,-3.67125662172115,0.671402567997289,-5.46804078017166,4.55037205946996e-08,1.61867682028831e-06
"KIAA1199",2020.6939780976,-3.66069630317924,0.234490199760475,-15.6112976445009,6.09839058868629e-55,1.90251491195246e-50
"CBX2",443.037018763544,-3.63917050957825,0.442366135996007,-8.22660283745386,1.92597733539668e-16,7.7743905064481e-14
"ENSG00000249942.1",3.24761540810558,-3.63147050312042,0.917874156226109,-3.95639258223743,7.60900790834071e-05,0.000748591042940729
"SLN",10.4618221042863,-3.63130763703852,0.908471941553248,-3.99715992420189,6.41069929182983e-05,0.000654004531743674
"ENSG00000256916.1",2.72093839194251,-3.62797309837796,1.00558399605865,-3.60782700659287,0.000308772247435719,0.00235289882834688
"DUOXA2",494.810165564791,-3.62099100403873,0.583107584663344,-6.20981633454365,5.30465636300139e-10,3.52855787967067e-08
"CSF3",215.063091536981,-3.61435038790979,0.763520827655707,-4.73379409833153,2.2036127696721e-06,4.12394166619439e-05
"IL6",483.121917124018,-3.59746315788058,0.931610479275198,-3.86155291069658,0.000112668605164829,0.00103228266529432
"CXCR1",291.692650391443,-3.59343798460618,0.739671967398485,-4.85815083305744,1.18487134743e-06,2.4334714566013e-05
"CXCR2",342.562520002507,-3.58952838413389,0.725305892153723,-4.94898555625289,7.46012822540812e-07,1.66714627684855e-05
"ENSG00000248810.1",117.178727516264,-3.57937839549925,0.880415991647403,-4.06555358995881,4.79185813683002e-05,0.000513540358277864
"SFRP4",1126.80191347908,-3.57774439187934,0.762541888863921,-4.69186603926727,2.70724378119235e-06,4.85111339700504e-05
"C6orf223",375.229472861808,-3.57406618532544,0.495736159274556,-7.20961365932155,5.6110845697956e-13,9.94596621158599e-11
"C9orf53",2.12071422822201,-3.57098606360952,0.993198102522765,-3.59544189073566,0.000323841410978642,0.0024491831511032
"ENSG00000258548.1",17.3407449848947,-3.56632748761012,1.18627855558656,-3.00631539769066,0.00264434560934235,0.0133014592026207
"S100A8",553.135361045776,-3.55884639445311,0.775268167725333,-4.5904714556963,4.42245937485945e-06,7.24999816697269e-05
"DUSP9",20.99581289203,-3.54844857799077,0.625797199630335,-5.67028516600406,1.42560031505216e-08,6.14288025258041e-07
"ENSG00000257588.1",15.931889075042,-3.5474963789196,0.740664821056864,-4.78961100630867,1.67104936100246e-06,3.25433708287976e-05
"GKN2",3.11719091830074,-3.54671096708033,1.09622575908487,-3.23538371333394,0.00121479356867844,0.00711297202741391
"CXCL3",1214.07850784709,-3.54601449554733,0.51208455154609,-6.92466602407974,4.37005257353139e-12,5.87640216105425e-10
"LINC00645",16.3796904180502,-3.54214036384425,1.24527562547923,-2.84446293765776,0.00444863609376735,0.0200700072620766
"FPR2",213.233226050016,-3.5349762124157,0.645982890237584,-5.47224433624794,4.44371573615173e-08,1.58616246934468e-06
"ENSG00000236481.1",2.6806171610659,-3.53479158142674,0.961498333014622,-3.67633667168613,0.000236607221228667,0.00188638901466471
"EPHX4",53.9641805173183,-3.53205644359952,0.447626826675781,-7.8906272660861,3.00671420448972e-15,8.76639841471642e-13
"ONECUT2",223.69377052029,-3.53005502746708,0.473604989677787,-7.45358495878332,9.0837456158469e-14,1.87672590713626e-11
"NMU",100.276137976248,-3.52601723149254,0.60994903475787,-5.78083910386424,7.43289523270547e-09,3.52407344338469e-07
"LINC00460",13.5018727086398,-3.52587107285704,0.684671269805682,-5.14972838550349,2.60863952226888e-07,6.96165330848779e-06
"ENSG00000238178.2",49.6012873681106,-3.5248545970752,0.96267937171071,-3.66150423563292,0.00025073871502088,0.00197825525589291
"ENSG00000213468.3",81.9973552489101,-3.5205618393738,0.529450646471615,-6.64946178238834,2.94166715993056e-11,3.00889148814274e-09
"LOC286467",81.9973552489101,-3.5205618393738,0.529450646471615,-6.64946178238834,2.94166715993056e-11,3.00889148814274e-09
"GNGT1",3.89499280913456,-3.51203356165571,1.13958688079624,-3.08184801074739,0.00205719848004448,0.0109017192087562
"ENSG00000233854.1",7.19158716264976,-3.49703116010085,0.901901409752953,-3.8773984853386,0.000105579357159074,0.000979119858885738
"ENSG00000254142.2",5.59067800205692,-3.49563052117494,0.796668761696441,-4.38780919905945,1.14498152138443e-05,0.000158263130361675
"ADAM12",731.987519420372,-3.49461483329005,0.376662364843662,-9.27784445557902,1.72941742016867e-20,1.31591793309761e-17
"LOC401164",3.09172662766623,-3.48883742728204,1.05570707470758,-3.30474002767141,0.000950645351058591,0.00584379960925613
"IL1B",1411.8700261195,-3.4882691882652,0.712658360125585,-4.89472850308035,9.84415357799622e-07,2.08491554088763e-05
"ENSG00000197085.7",46.9782321985463,-3.46375038011382,0.583589957000704,-5.93524672342783,2.93403939940797e-09,1.57273586156925e-07
"ENSG00000229243.1",9.28924927764686,-3.45942725233832,0.968434019295852,-3.57218683297977,0.000354012698813181,0.00262955575354162
"C19orf81",19.6460799209958,-3.45888547483788,0.63828406778579,-5.41903777551079,5.99206569868016e-08,2.02969026711971e-06
"ENSG00000228294.2",5.91012520960674,-3.44652572133187,0.998911909233073,-3.4502799390769,0.000560005523246788,0.00381868684343826
"CDKN2A",248.60445152817,-3.44260119529617,0.613176770934717,-5.61436988235599,1.97279813268706e-08,8.05567844835578e-07
"KLK10",130.317201388823,-3.43311401988347,0.541106279130061,-6.34462055292151,2.22974327145516e-10,1.67214665479776e-08
"FABP6",51.1247736709667,-3.4300955769301,0.572381984918169,-5.99266865015063,2.06425178453491e-09,1.16242712855841e-07
"TNNI3",10.7219680809096,-3.42148238138453,0.790211801888029,-4.32982951306181,1.4922482523053e-05,0.000196428981971175
"COL1A1",27054.5821666073,-3.40771945245735,0.316726350506346,-10.759191481888,5.36386927392205e-27,9.29647942991924e-24
"ENSG00000247381.2",20.0728843355923,-3.40355948477794,0.566190726497049,-6.01133032650558,1.84007033922915e-09,1.04944560096768e-07
"KCNJ15",217.032552954755,-3.40107490714612,0.652314637572412,-5.21385649079287,1.8495457432686e-07,5.250252825546e-06
"NPSR1-AS1",38.9479406433565,-3.39796625622061,0.595403281817523,-5.70699954129915,1.14985091993265e-08,5.10268835691877e-07
"PLAC1",5.18463405111704,-3.38103222205042,0.958597876856091,-3.5270599942691,0.000420201538392138,0.0030142624495791
"S100A2",67.5654646887598,-3.38004248531887,0.511229800910458,-6.61159126345782,3.80210599621294e-11,3.76080964690605e-09
"HTR1D",75.6379457052486,-3.37540578123811,0.605116744980219,-5.57810671947023,2.43150473122793e-08,9.50572093986439e-07
"CD300E",395.365058162504,-3.36828407815124,0.640109019331298,-5.26204752070199,1.42459932184262e-07,4.17699483491769e-06
"ENSG00000267073.1",6.75319815187082,-3.36152399528781,0.728855723515583,-4.61205679921637,3.98704005165109e-06,6.64442780402558e-05
"ENSG00000251230.1",10.2790934842109,-3.36081133180939,0.786099011755494,-4.27530283278708,1.90877661494291e-05,0.000240501228014435
"S100A9",2330.05324139462,-3.35861200719338,0.707340496178783,-4.74822525408538,2.05209413001166e-06,3.86589254673754e-05
"SLC11A1",438.757590049759,-3.34850640979737,0.524617781320302,-6.38275431947848,1.7393083222216e-10,1.35992986787838e-08
"SPINK4",2034.91618481141,-3.3367299076311,0.62225468893565,-5.3623218385682,8.21589875155805e-08,2.64511241849697e-06
"MSX2",108.831502913861,-3.33465295191341,0.495389766206314,-6.73137230397415,1.68070299033868e-11,1.87213301356623e-09
"DEFB4A",2.27550348382912,-3.31748886918538,1.2390818333904,-2.67737673153354,0.00742011507334546,0.0299579823920225
"ENSG00000260725.1",12.917188070061,-3.31390123050176,1.20524496821453,-2.74956653452038,0.00596741466127107,0.0253320771788915
"MUCL1",2.21439100978785,-3.31070356697111,0.968420476083769,-3.41866332727637,0.000629295376399375,0.00419758987759916
"POU5F1B",126.840429963743,-3.31022625705436,0.601177197089246,-5.5062405445211,3.66577566193035e-08,1.34226764466245e-06
"ENSG00000267308.1",17.8284292373235,-3.30967208925305,0.607487520633284,-5.44813181644098,5.09016297568576e-08,1.77711592327124e-06
"SALL4",92.0688387752765,-3.29848619149901,0.284576504336407,-11.5908591933498,4.58509875638595e-31,1.43041325902973e-27
"ASCL2",1745.94817226864,-3.29844130727532,0.528753569290205,-6.23814475938787,4.42790814469419e-10,3.05613828296515e-08
"ENSG00000266927.2",1.84161219950192,-3.29502940487978,1.14710709090381,-2.87246886625346,0.00407278207548222,0.0187374402608492
"LOC731424",37.9124010606864,-3.2949424751084,0.675268177950266,-4.87945764764155,1.06377963199631e-06,2.22580370083091e-05
"SLCO4A1",1198.36142472477,-3.2927104755096,0.31479623734336,-10.4598152230076,1.32113050489206e-25,1.9626337314818e-22
"ENSG00000233532.1",13.839126731644,-3.2922539088314,0.704541844675805,-4.67290045823513,2.9697571870848e-06,5.21309525470066e-05
