"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEMA3E",154.206951256566,2.88477629970892,0.481657138260421,5.98927342824761,2.10780542826538e-09,1.18481452154225e-07
"SFRP5",77.10780001666,2.87302877536024,0.576379200243956,4.98461563870489,6.20851057998616e-07,1.42942364991755e-05
"ENSG00000225948.2",2.4475696372617,2.86756490686881,0.799866999195752,3.58505215211039,0.000337010853882586,0.00252612388480899
"CWH43",451.231447445877,2.86627683019301,0.640147145265778,4.47752809864205,7.55122912183949e-06,0.000112285841236428
"PRKG2",139.076789648062,2.86523699535915,0.386156978004423,7.41987626422312,1.1722980268346e-13,2.31469503437715e-11
"ENSG00000259475.1",213.488638896352,2.86156624855509,0.645112403784826,4.43576380141895,9.17464017703884e-06,0.000132203810440222
"FAM135B",158.67363639398,2.85965370343622,0.445405688321024,6.42033494052536,1.35974833765843e-10,1.1104730075898e-08
"ENSG00000178457.3",3.81604177203666,2.85015070365461,0.673657613192499,4.23085948683574,2.32800068873322e-05,0.00028271734203759
"MAMDC2",614.820046964736,2.84878839854385,0.427569010629286,6.66275695320172,2.6873789021009e-11,2.81336106069939e-09
"CRYBA2",29.1295112659832,2.83287600038489,0.439498921988975,6.44569499184336,1.15071874112947e-10,9.59182611671381e-09
"LINC00314",3.76917010016607,2.83014179295829,0.675981740993397,4.18671337009668,2.83022868763288e-05,0.000330939446656983
"SERPINI2",4.00984685786584,2.82689144372692,0.737976907979544,3.8305960703655,0.000127833209672949,0.00113943218347628
"TMEM72",115.982165489636,2.82573630331692,0.508714993245518,5.55465504425021,2.78160523621664e-08,1.06606558420455e-06
"PDZRN4",436.388066235777,2.82159503227917,0.762817977255517,3.69890998430683,0.000216527370980987,0.00175545852195786
"FGF14-IT1",16.5785823217563,2.80908450868851,0.43145465978391,6.5107293315488,7.47867956315054e-11,6.78233623056998e-09
"CHRM2",268.141354809947,2.80740112186701,1.07462237475968,2.61245362818247,0.00898948866063634,0.0348682180462355
"DAO",29.8992760115051,2.80182653431709,0.529989543210269,5.28656946200444,1.24631503806724e-07,3.74218385395415e-06
"ENSG00000271761.1",3.39845003031437,2.79819142505774,0.739695927332891,3.78289418889614,0.000155015323467932,0.00132529817654949
"GALR2",29.0884274680952,2.79177819833708,0.568085496255839,4.91436274422995,8.90717002142528e-07,1.92302410490245e-05
"PGM5",1953.61905463295,2.79148983243308,0.608259448825767,4.58930779919982,4.44718262596314e-06,7.28287435077019e-05
"ENSG00000267269.1",5.97605877530164,2.78667755206212,0.656353460722771,4.24569644074621,2.17915492890615e-05,0.000267966481344443
"ENSG00000224359.1",2.22545843544334,2.78430897177322,0.929871351169474,2.99429482182828,0.00275079999205922,0.0137234546927334
"ENSG00000249356.1",9.37387522705759,2.77136003107068,0.644639151462042,4.29908736505568,1.71502862602425e-05,0.000219637717758944
"ENSG00000254187.1",3.44512509941687,2.77015747237552,0.659866422307381,4.19805793828544,2.69213762828362e-05,0.000317529745140129
"MT1H",378.025498635186,2.76585381504978,0.453890077963012,6.09366441201469,1.1035488162226e-09,6.6590739689935e-08
"LRRC3B",16.9183061081827,2.76413525607767,0.615382696840001,4.49173379471269,7.06456920752698e-06,0.000106418814856214
"ENSG00000257228.1",10.0682230895541,2.75868080454998,0.731253126622592,3.77253881606139,0.000161594816757249,0.00137214847533367
"PKHD1L1",273.024002284452,2.75808865210808,0.384065457332533,7.18129839445589,6.90524538698259e-13,1.17077684966139e-10
"CADM3",378.53471966788,2.73527995978896,0.423581858319192,6.45750025896475,1.06446570172647e-10,9.02395013498928e-09
"ENSG00000229019.1",17.3017812684464,2.7343161148465,0.73415481673795,3.7244407480643,0.000195748679254607,0.00161368696411795
"MAL",56.7821122042501,2.73387730578453,0.455919385598073,5.99640504910367,2.01733473750869e-09,1.13809478967479e-07
"TAGLN3",36.1665369031166,2.72832255426627,0.6038543385828,4.51817993171902,6.2373470187669e-06,9.58449764273424e-05
